============================ ★ 2分屏 → 3分屏 全过程 [18:29:07.500 ~ 18:29:11.200]
18:29:08.298  hyper_launcher_app                         | : <app-frb-pool-app_launcher::recents::systemui_shared::transition::window_transion_manager:2380>: set_split_dock_animating: true
18:29:08.299  MultipleSplitRootTaskOrganizer             | dockMultipleSplitTasks: TaskInfo{userId=0 taskId=7705 effectiveUid=10245 displayId=0 isRunning=true baseIntent=Intent { act=android.intent.action.MAIN cat=[android.i
18:29:08.300  MultiTaskingMemoryObserver                 | getMemoryInfo::memInfo.availMem = 7134154752
18:29:08.301  OS4FreeFromX                               | TRACE SoScCoord#onPreSoScStateChangedForMultipleSplit(-7)
18:29:08.301  OS4FreeFromX                               | TRACE SoScCoord#dispatchPreMultiWindowChangedForMultipleSplit(0, {PreState=-7, RootBounds=Rect(0, 0 - 2364, 1672)})
18:29:08.302  SoScStageCoordinator                       | onPreMultiWindowChangedForMultipleSplit event:STATE_CHANGED PreState:TO_DOCK com.android.wm.shell.sosc.SoScStageCoordinator.onPreSoScStateChangedForMultipleSplit:69 
18:29:08.302  OS4FreeFromX                               | TRACE SoScCoord#onMultiWindowStateChangedForMultipleSplit(-7, false)
18:29:08.302  SoScStageCoordinator                       | onMultiWindowStateChangedForMultipleSplit state:TO_DOCK MultipleSplitTaskIds:[7705, 7703] IsTransitionFinished:false com.android.wm.shell.sosc.SoScUtilsImpl.sendMult
18:29:08.302  MultipleSplitLayout                        | leftRect Rect(0, 0 - 1170, 1672), rightRect: Rect(1194, 0 - 2364, 1672)
18:29:08.302  MultipleSplitLayout                        | Dock offset: -2294
18:29:08.302  MultipleSplitRootTaskOrganizer             | dock sosc to Rect(-2294, 0 - 70, 1672)
18:29:08.302  MultipleSplitRootTaskOrganizer             | Params for home: Rect(0, 0 - 2364, 1672), -2294.0, 24.0
18:29:08.302  MultipleSplitTransitionHandler             | startDockChangeTransition: transitType = 3, extraTransitType = 11286, index = 2
18:29:08.303  SchedBoost                                 | handleLowLatencySceneBoost active= true, methodName= startTransition
18:29:08.303  MulWinSwitchSoScStateListener              | onPreMultiWindowChanged
18:29:08.303  MulWinSwitchSoScStateListener              | updateSoScHomeParams::state = -7, last_state = 2, needAnim = false, lotBounds = null, robBounds = null, soscHomeCenterX=0.0, soscHomeShowingWidth=0, needRelayout = t
18:29:08.303  MulWinSwitchSoScStateListener              | onMultiWindowStateChanged
18:29:08.303  MulWinSwitchSoScStateListener              | updateSoScHomeParams::state = -7, last_state = -7, needAnim = false, lotBounds = null, robBounds = null, soscHomeCenterX=0.0, soscHomeShowingWidth=0, needRelayout = 
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::recents::sosc::sosc_split_screen_controller:1124>: on_pre_multi_window_changed, event=0
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::recents::sosc_split_screen_api:898>: on_pre_multi_window_changed:0 
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::recents::sosc_split_screen_api:898>: get key_left_or_top_bounds from fn_on_pre_multi_window_changed None, return default
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::recents::sosc_split_screen_api:898>: get key_right_or_bottom_bounds from fn_on_pre_multi_window_changed None, return default
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::recents::sosc::sosc_split_screen_controller:1141>: on_multi_window_state_changed
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::recents::sosc::sosc_split_screen_controller:1233>: notify_split_mode_changed: in_split true -> false, last_state=2, now_state=-7
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::recents::base_recents_impl:540>: split_gesture_callback: split mode changed, in_split=false
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::recents::base_recents_impl:997>: update_gesture_touchable_region: reason=split_mode_changed
18:29:08.304  WindowManager                              | Set transition 180 ready=false, info=used=false, override=false, defer=0, states=, reason=com.android.server.wm.Transition.applyReady:1512 com.android.server.wm.Tran
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::recents::sosc_split_screen_api:898>: on_multi_window_state_changed:-7
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::recents::sosc_split_screen_api:898>: get key_left_or_top_bounds from on_multi_window_state_changed None, return default
18:29:08.304  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::recents::sosc_split_screen_api:898>: get key_right_or_bottom_bounds from on_multi_window_state_changed None, return default
18:29:08.304  WindowManager                              | Collecting in transition 180: Task{5483217 #7694 name=stage_c type=undefined} init visibleRequested: false on display 0
18:29:08.305  MiuiSplitScreenImpl                        | updateDockedState, state from 0 switch to 1, launchRootTask : Task{5483217 #7694 name=stage_c type=undefined}
18:29:08.305  WindowManager                              | Collecting in transition 180: Task{991f58e #1 type=home} init visibleRequested: true on display 0
18:29:08.305  WindowManager                              | Collecting in transition 180: WallpaperWindowToken{aaccc7f showWhenLocked=true fixedRotationBySelf=false} init visibleRequested: true on display 0
18:29:08.305  hyper_launcher_app                         | : <1.ui-app_launcher::recents::systemui_shared::transition::window_transion_manager:2336>: set_input_consumer_enabled false
18:29:08.306  hyper_launcher_app                         | : <app-frb-pool-app_launcher::recents::sosc::sosc_split_screen_controller:909>: on_gesture_end: predict_state = -3 
18:29:08.306  MiuiSplitInputMethodImpl                   | getDeclaredMethod:java.lang.NoSuchMethodException: com.android.server.wm.WindowContextListenerController.dispatchConfigurationFromMultiWindowImeContainer [int]
18:29:08.307  WindowManager                              | Collecting in transition 180: Task{c9d3142 #7688 type=undefined} init visibleRequested: true on display 0
18:29:08.307  WindowManager                              | Collecting in transition 180: Task{991f58e #1 type=home} init visibleRequested: true on display 0
18:29:08.307  WindowManager                              | Collecting in transition 180: Task{c9d3142 #7688 type=undefined} init visibleRequested: true on display 0
18:29:08.307  ActivityTaskManager                        | moveTaskToFront: Task{520b032 #7705 type=standard A=10245:android.task.calendar} caller trace:com.android.server.wm.TaskDisplayArea.onTaskMoved:434 com.android.serve
18:29:08.308  WindowManager                              | Set transition 180 ready=true, info=used=true, override=false, defer=0, states=Display{#0 state=ON size=2364x1672 ROTATION_90}:true, reason=com.android.server.wm.Tra
18:29:08.308  SecondPageAnimSpeed_Controller             | setTransitionReady fail because basic condition check failed
18:29:08.310  MiuiSoScManager                            | commit minimized change : ChangeInfo{2cc320a container=Task{b5476d5 #7689 name=main type=undefined} flags=0x820}, preMinimized : false, requestedMinimized : false, m
18:29:08.310  MiuiSoScManager                            | commit minimized change : ChangeInfo{2cc320a container=Task{b5476d5 #7689 name=main type=undefined} flags=0x820}, preMinimized : false, requestedMinimized : false, m
18:29:08.310  Transition                                 | calculateTargets isHomeOpen = false, isHomeLaunchApp = false
18:29:08.311  MiuiSoScManager                            | make sure task Task{ce9aeea #7690 name=side type=undefined} play transition.
18:29:08.311  MiuiSoScManager                            | make sure task Task{ce9aeea #7690 name=side type=undefined} play transition.
18:29:08.311  MiuiSplitScreenImpl                        | notifyTaskMultiWindowModeChanged when transition ready: taskId=7705 bounds=Rect(0, 0 - 1170, 1672) packageName=com.android.calendar windowMode=6 vis=true inMultiWind
